city,university,rank_in_country,website,annual_fee,description,acceptance_rate,core_departments,languages_of_instruction
Paris,Sorbonne University,1,https://www.sorbonne-universite.fr/,€175,"France's leading public research university, internationally renowned for science, medicine, humanities, and engineering. ",Highly Competitive (~10-20%),Medicine|Computer Science|Natural Sciences|Engineering|Humanities,French|English
Paris,Université Paris Cité,3,https://u-paris.fr/,€175,"A major multidisciplinary university offering excellent programs in medicine, science, law, economics, and social sciences.",Moderately Competitive (~20-30%),Medicine|Computer Science|Law|Economics|Social Sciences,French|English

Lyon,Claude Bernard University Lyon 1,6,https://www.univ-lyon1.fr/,€175,"One of France's leading universities for medicine, science, engineering, and health sciences. ",Moderately Competitive (~25-35%),Medicine|Computer Science|Biology|Engineering|Physics,French|English
Lyon,Jean Moulin University Lyon 3,14,https://www.univ-lyon3.fr/,€175,"Well known for law, business, management, languages, and humanities. ",Moderately Competitive (~35-45%),Law|Business Administration|Economics|Management|Languages,French|English

Toulouse,Toulouse INP,12,https://www.toulouse-inp.fr/,€175,"A prestigious engineering institute recognized for aerospace, civil engineering, computer science, and applied sciences.",Highly Competitive (~15-25%),Mechanical Engineering|Computer Science|Chemical Engineering|Civil Engineering|Aerospace Engineering,French|English
Toulouse,University of Toulouse Capitole,18,https://www.ut-capitole.fr/,€175,"One of France's leading universities for law, economics, management, and political science.",Moderately Competitive (~30-40%),Law|Economics|Business Administration|Political Science|Management,French|English


Brussels,Vrije Universiteit Brussel,8,https://www.vub.be/,€1000,"A leading Belgian university recognized for engineering, business, health sciences, and international research.",Moderately Competitive (~25-35%),Engineering|Computer Science|Business Administration|Health Sciences|Social Sciences,Dutch|English
Brussels,Université libre de Bruxelles,4,https://www.ulb.be/,€900,"One of Belgium's top research universities, offering excellent programs across science, medicine, law, and humanities. ",Moderately Competitive (~20-30%),Medicine|Computer Science|Engineering|Law|Economics,French|English

Leuven,KU Leuven,1,https://www.kuleuven.be/,€1100,"Belgium's highest-ranked university, internationally renowned for engineering, medicine, business, and research excellence. ",Highly Competitive (~10-20%),Mechanical Engineering|Computer Science|Electrical Engineering|Medicine|Business Administration,Dutch|English
Leuven,UC Leuven-Limburg,18,https://www.ucll.be/,€950,"A respected university of applied sciences offering practical programs in education, business, healthcare, and technology. ",Moderately Competitive (~45-55%),Business Administration|Education|Nursing|Information Technology|Applied Engineering,Dutch|English

Ghent,Ghent University,2,https://www.ugent.be/,€1100,"One of Europe's leading research universities with strengths in engineering, biotechnology, medicine, and environmental sciences.",Moderately Competitive (~15-25%),Engineering|Computer Science|Biotechnology|Medicine|Environmental Sciences,Dutch|English
Ghent,University of Applied Sciences and Arts Ghent,16,https://www.hogent.be/,€950,"Offers career-oriented education in engineering, business, design, health sciences, and technology.",Moderately Competitive (~45-55%),Engineering|Business Administration|Information Technology|Design|Health Sciences,Dutch|English


Amsterdam,University of Amsterdam,2,https://www.uva.nl/,€2530,"One of Europe's leading research universities, renowned for social sciences, business, AI, law, and humanities. ",Moderately Competitive (~20-30%),Business Administration|Computer Science|Economics|Law|Psychology,Dutch|English
Amsterdam,Vrije Universiteit Amsterdam,5,https://vu.nl/,€2530,"A highly respected university known for business, medicine, computer science, and sustainability research. ",Moderately Competitive (~25-35%),Artificial Intelligence|Computer Science|Business Administration|Medicine|Earth Sciences,Dutch|English

Eindhoven,Eindhoven University of Technology,4,https://www.tue.nl/,€2530,"A world-class technical university specializing in engineering, AI, robotics, and innovation.",Highly Competitive (~15-25%),Mechanical Engineering|Computer Science|Electrical Engineering|Industrial Engineering|Artificial Intelligence,Dutch|English
Eindhoven,Fontys University of Applied Sciences,15,https://www.fontys.nl/,€2530,"Offers practice-oriented education in engineering, business, IT, and design with strong industry links.",Moderately Competitive (~45-55%),Mechanical Engineering|Information Technology|Business Administration|Logistics|Design,Dutch|English

Groningen,University of Groningen,3,https://www.rug.nl/,€2530,"An internationally recognized university with strengths in economics, medicine, science, and international relations.",Moderately Competitive (~20-30%),Economics|Computer Science|Medicine|International Relations|Biology,Dutch|English
Groningen,Hanze University of Applied Sciences,18, https://www.hanze.nl/,€2530,"A leading applied sciences university known for engineering, business, energy, and healthcare programs.",Moderately Competitive (~45-55%),Engineering|Business Administration|Energy Systems|Healthcare|Communication,Dutch|English


Vienna,University of Vienna,1,https://www.univie.ac.at/,€1500,"Austria's oldest and largest university, internationally renowned for humanities, law, business, sciences, and social sciences. ",Moderately Competitive (~20-30%),Law|Business Administration|Humanities|Natural Sciences|Social Sciences,German|English
Vienna,TU Wien,2,https://www.tuwien.at/,€1500,"One of Europe's leading technical universities, known for engineering, architecture, computer science, and innovation. ",Highly Competitive (~15-25%),Mechanical Engineering|Computer Science|Electrical Engineering|Civil Engineering|Architecture,German|English

Graz,University of Graz,4,https://www.uni-graz.at/,€1500,"A prestigious Austrian university offering excellent programs in law, business, sciences, humanities, and social sciences.",Moderately Competitive (~25-35%),Law|Business Administration|Humanities|Natural Sciences|Social Sciences,German|English
Graz,Graz University of Technology,5,https://www.tugraz.at/,€1500,"Internationally respected for engineering, computer science, electronics, and natural sciences.",Moderately Competitive (~20-30%),Mechanical Engineering|Computer Science|Electrical Engineering|Civil Engineering|Information Technology,German|English


Linz,Johannes Kepler University Linz,6,https://www.jku.at/,€1500,"Known for business, economics, law, artificial intelligence, engineering, and medicine.",Moderately Competitive (~25-35%),Business Administration|Computer Science|Economics|Artificial Intelligence|Law,German|English

Linz,University of Art and Design Linz,15,https://www.ufg.at/,€1500,"A creative institution specializing in design, media, architecture, visual arts, and digital innovation.",Moderately Competitive (~40-50%),Design|Visual Arts|Media Arts|Industrial Design|Architecture,German|English
