city,country,population,student_rating,summary,recommended_budget,city_size,job_market,employment,student_environment,living_cost,international_community,public_transport,safety,wikipedia,study_portal,scholarship,visa,latitude,longitude
Paris,France,"2.1 Million","⭐⭐⭐⭐⭐","France's capital city offering world-renowned universities, exceptional cultural experiences, and outstanding international career opportunities.",1400,Large,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐🌑🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Paris,https://www.campusfrance.org/en,https://www.campusfrance.org/en/financial-aid-international-students,https://france-visas.gouv.fr/en/,48.8566,2.3522

Lyon,France,"535 Thousand","⭐⭐⭐⭐⭐","A vibrant student city known for academic excellence, affordable living compared to Paris, and strong employment opportunities.",1100,Medium,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Lyon,https://www.campusfrance.org/en,https://www.campusfrance.org/en/financial-aid-international-students,https://france-visas.gouv.fr/en/,45.7640,4.5357

Toulouse,France,"510 Thousand","⭐⭐⭐⭐🌑","A leading aerospace and engineering city offering excellent universities, affordable living, and a welcoming student community.",1000,Medium,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Toulouse,https://www.campusfrance.org/en,https://www.campusfrance.org/en/financial-aid-international-students,https://france-visas.gouv.fr/en/,43.6047,1.4442


Brussels,Belgium,"1.2 Million","⭐⭐⭐⭐⭐","Belgium's capital and the heart of the European Union, offering outstanding international exposure, renowned universities, and excellent career opportunities.",1200,Large,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Brussels,https://www.studyinbelgium.be/,https://www.studyinbelgium.be/en/scholarships,https://dofi.ibz.be/en/themes/third-country-nationals/studying,50.8503,4.3517

Leuven,Belgium,"104 Thousand","⭐⭐⭐⭐⭐","One of Europe's leading university cities, offering an exceptional student environment, strong research culture, and a welcoming international community.",1000,Small,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Leuven,https://www.studyinbelgium.be/,https://www.studyinbelgium.be/en/scholarships,https://dofi.ibz.be/en/themes/third-country-nationals/studying,50.8798,4.7005

Ghent,Belgium,"270 Thousand","⭐⭐⭐⭐⭐","A lively university city combining historic charm, affordable student life, and excellent academic opportunities.",1000,Small,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Ghent,https://www.studyinbelgium.be/,https://www.studyinbelgium.be/en/scholarships,https://dofi.ibz.be/en/themes/third-country-nationals/studying,51.0543,3.7174


Amsterdam,Netherlands,"935 Thousand","⭐⭐⭐⭐⭐","The Netherlands' capital offering globally recognised universities, outstanding international opportunities, and a vibrant multicultural student experience.",1500,Large,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐🌑🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑",https://en.wikipedia.org/wiki/Amsterdam,https://www.studyinnl.org/,https://www.studyinnl.org/finances,https://ind.nl/en/residence-permits/study,52.3676,4.9041

Eindhoven,Netherlands,"246 Thousand","⭐⭐⭐⭐⭐","A leading technology and innovation hub known for TU Eindhoven, strong engineering programs, and excellent career prospects.",1200,Small,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Eindhoven,https://www.studyinnl.org/,https://www.studyinnl.org/finances,https://ind.nl/en/residence-permits/study,51.4416,5.4697

Groningen,Netherlands,"238 Thousand","⭐⭐⭐⭐⭐","A youthful university city famous for its vibrant student culture, affordable lifestyle, and excellent quality of life.",1100,Small,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Groningen,https://www.studyinnl.org/,https://www.studyinnl.org/finances,https://ind.nl/en/residence-permits/study,53.2194,6.5665


Vienna,Austria,"2.0 Million","⭐⭐⭐⭐⭐","Austria's capital city offering world-class universities, exceptional quality of life, and outstanding international career opportunities.",1300,Large,Excellent,"⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐🌑🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Vienna,https://studyinaustria.at/en/,https://studyinaustria.at/en/useful-tips/scholarships/,https://oead.at/en/to-austria/entry-and-residence,48.2082,16.3738

Graz,Austria,"305 Thousand","⭐⭐⭐⭐⭐","Austria's premier student city known for excellent universities, affordable living, and a welcoming academic environment.",1000,Medium,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Graz,https://studyinaustria.at/en/,https://studyinaustria.at/en/useful-tips/scholarships/,https://oead.at/en/to-austria/entry-and-residence,47.0707,15.4395

Linz,Austria,"210 Thousand","⭐⭐⭐⭐🌑","A modern Austrian city recognised for engineering, innovation, and a growing international student community.",950,Small,Good,"⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐🌑","⭐⭐⭐🌑🌑","⭐⭐⭐⭐🌑","⭐⭐⭐⭐⭐",https://en.wikipedia.org/wiki/Linz,https://studyinaustria.at/en/,https://studyinaustria.at/en/useful-tips/scholarships/,https://oead.at/en/to-austria/entry-and-residence,48.3069,14.2858
